start_time,end_time,partition,neural_network_type,similarity_type,embedding_type,embedding_dim,max_seq_length,batch_size,n_epochs,n_hidden,kernel_initializer,kernel_regularizer,bias_regularizer,activity_regularizer,activation,recurrent_activation,dropout,recurrent_dropout,activation_layer,activation_dense_layer,loss,optimizer,learning_rate,clipnorm,accuracy_training,accuracy_validation,loss_training,loss_validation
12/08/2021 02:05:43,12/08/2021 02:54:06,70.0/30.0,LSTM,MANHATTAN,WORD2VEC_GOOGLE_NEWS,300,17,64,20,128,<tensorflow.python.keras.initializers.initializers_v2.GlorotNormal object at 0x000001B0AE28F588>,,,,softsign,hard_sigmoid,0.24697647633830466,0.06536980304050743,selu,sigmoid,mean_squared_error,Adadelta,0.10000000149011612,1.5,0.5614,0.5915,0.3050,0.3134
12/08/2021 03:39:29,12/08/2021 04:08:42,70.0/30.0,LSTM,MANHATTAN,WORD2VEC_GOOGLE_NEWS,300,10,64,20,128,<tensorflow.python.keras.initializers.initializers_v2.GlorotNormal object at 0x00000281CE86F5C0>,,,,softsign,hard_sigmoid,0.24697647633830466,0.06536980304050743,selu,sigmoid,mean_squared_error,Adadelta,0.10000000149011612,1.5,0.5430,0.5640,0.3110,0.3197
12/08/2021 16:10:37,12/08/2021 16:52:11,70.0/30.0,LSTM,MANHATTAN,WORD2VEC_GOOGLE_NEWS,300,14,64,20,128,<tensorflow.python.keras.initializers.initializers_v2.GlorotNormal object at 0x000002CB97A9F588>,,,,softsign,hard_sigmoid,0.24697647633830466,0.06536980304050743,selu,sigmoid,mean_squared_error,Adadelta,0.10000000149011612,1.5,0.5590,0.5821,0.3053,0.3152
