date,n_rounds,start_time,end_time,max_seq_length,accuracy,val_accuracy,loss,val_loss
22/08/2021 05:27:50,2,22/08/2021 06:06:25,22/08/2021 06:12:09,9,"[0.4988095164299011, 0.4988095164299011]","[0.5027777552604675, 0.5027777552604675]","[0.44823311269283295, 0.4099601209163666]","[0.44625183939933777, 0.39349591732025146]"
22/08/2021 05:27:50,2,22/08/2021 06:12:10,22/08/2021 06:15:48,5,"[0.4988095164299011, 0.4988095164299011]","[0.5027777552604675, 0.5027777552604675]","[0.4487965703010559, 0.41252297163009644]","[0.44665443897247314, 0.40530867874622345]"
22/08/2021 05:27:50,2,22/08/2021 06:15:49,22/08/2021 06:20:21,7,"[0.4988095164299011, 0.4988095164299011]","[0.5027777552604675, 0.502824068069458]","[0.44598761200904846, 0.40660278499126434]","[0.44182606041431427, 0.39436522126197815]"
