date,round,start_time,end_time,max_seq_length,accuracy,val_accuracy,loss,val_loss
22/08/2021 05:27:50,1,22/08/2021 06:06:25,22/08/2021 06:09:12,9,"[0.4988095164299011, 0.4988095164299011]","[0.5027777552604675, 0.5027777552604675]","[0.4506862163543701, 0.41386353969573975]","[0.45138224959373474, 0.4042544364929199]"
22/08/2021 05:27:50,2,22/08/2021 06:09:13,22/08/2021 06:12:09,9,"[0.4988095164299011, 0.4988095164299011]","[0.5027777552604675, 0.5027777552604675]","[0.4457800090312958, 0.4060567021369934]","[0.4411214292049408, 0.382737398147583]"
22/08/2021 05:27:50,1,22/08/2021 06:12:10,22/08/2021 06:13:58,5,"[0.4988095164299011, 0.4988095164299011]","[0.5027777552604675, 0.5027777552604675]","[0.44831350445747375, 0.41432759165763855]","[0.4503972828388214, 0.41506800055503845]"
22/08/2021 05:27:50,2,22/08/2021 06:13:59,22/08/2021 06:15:48,5,"[0.4988095164299011, 0.4988095164299011]","[0.5027777552604675, 0.5027777552604675]","[0.44927963614463806, 0.4107183516025543]","[0.4429115951061249, 0.39554935693740845]"
22/08/2021 05:27:50,1,22/08/2021 06:15:49,22/08/2021 06:18:03,7,"[0.4988095164299011, 0.4988095164299011]","[0.5027777552604675, 0.5027777552604675]","[0.4482959806919098, 0.4122718572616577]","[0.45077022910118103, 0.4131903648376465]"
22/08/2021 05:27:50,2,22/08/2021 06:18:03,22/08/2021 06:20:21,7,"[0.4988095164299011, 0.4988095164299011]","[0.5027777552604675, 0.5028703808784485]","[0.44367924332618713, 0.40093371272087097]","[0.4328818917274475, 0.3755400776863098]"
