date,n_rounds,start_time,end_time,max_seq_length,accuracy,val_accuracy,loss,val_loss
22/08/2021 05:27:50,2,22/08/2021 05:28:11,22/08/2021 05:38:15,17,"[0.49940475821495056, 0.5002976059913635]","[0.5013888776302338, 0.524398148059845]","[0.4431205242872238, 0.3818773925304413]","[0.40049242973327637, 0.3337361812591553]"
22/08/2021 05:27:50,2,22/08/2021 05:38:17,22/08/2021 05:44:32,10,"[0.4988095164299011, 0.4987103193998337]","[0.5027777552604675, 0.5063888728618622]","[0.4425642341375351, 0.3933904469013214]","[0.4077870845794678, 0.34434080123901367]"
22/08/2021 05:27:50,2,22/08/2021 05:44:33,22/08/2021 05:52:44,14,"[0.4988095164299011, 0.4990079402923584]","[0.5027777552604675, 0.5119907259941101]","[0.4427051693201065, 0.3929883986711502]","[0.4147709608078003, 0.3418195843696594]"
