date,round,start_time,end_time,max_seq_length,accuracy,val_accuracy,loss,val_loss
22/08/2021 05:27:50,1,22/08/2021 05:28:11,22/08/2021 05:33:23,17,"[0.5, 0.5]","[0.5, 0.5145370364189148]","[0.44653165340423584, 0.3925006091594696]","[0.415083110332489, 0.3384912312030792]"
22/08/2021 05:27:50,2,22/08/2021 05:33:24,22/08/2021 05:38:15,17,"[0.4988095164299011, 0.500595211982727]","[0.5027777552604675, 0.5342592597007751]","[0.4397093951702118, 0.37125417590141296]","[0.3859017491340637, 0.3289811313152313]"
22/08/2021 05:27:50,1,22/08/2021 05:38:17,22/08/2021 05:41:28,10,"[0.4988095164299011, 0.4987301528453827]","[0.5027777552604675, 0.5073148012161255]","[0.4429020881652832, 0.39610904455184937]","[0.41565442085266113, 0.34579673409461975]"
22/08/2021 05:27:50,2,22/08/2021 05:41:29,22/08/2021 05:44:32,10,"[0.4988095164299011, 0.49869048595428467]","[0.5027777552604675, 0.5054629445075989]","[0.442226380109787, 0.39067184925079346]","[0.3999197483062744, 0.3428848683834076]"
22/08/2021 05:27:50,1,22/08/2021 05:44:33,22/08/2021 05:48:39,14,"[0.4988095164299011, 0.49884921312332153]","[0.5027777552604675, 0.5058333277702332]","[0.4427686333656311, 0.39810124039649963]","[0.4244690537452698, 0.35183262825012207]"
22/08/2021 05:27:50,2,22/08/2021 05:48:40,22/08/2021 05:52:44,14,"[0.4988095164299011, 0.49916666746139526]","[0.5027777552604675, 0.5181481242179871]","[0.4426417052745819, 0.3878755569458008]","[0.4050728678703308, 0.3318065404891968]"
