date,n_rounds,start_time,end_time,max_seq_length,accuracy,val_accuracy,loss,val_loss
22/08/2021 14:37:13,20,22/08/2021 14:37:55,22/08/2021 17:09:41,17,"[0.4988769769668579, 0.4998095229268074, 0.5259226202964783, 0.5478750050067902, 0.5528115063905716, 0.5551388889551163, 0.5568055599927902, 0.5577976167201996, 0.5583829343318939, 0.5588472217321396, 0.5594007909297943, 0.5603769868612289, 0.5612698405981064, 0.562178573012352, 0.5614742040634155, 0.5624543607234955, 0.5628055512905121, 0.5639623016119003, 0.5637638866901398, 0.5644583314657211]","[0.5026296108961106, 0.5276944398880005, 0.5568796336650849, 0.563333335518837, 0.5671851843595505, 0.5700277775526047, 0.5722314804792404, 0.5742500066757202, 0.5758101850748062, 0.5772824108600616, 0.5787175953388214, 0.5793703734874726, 0.5801527738571167, 0.5810324072837829, 0.5820138901472092, 0.5828425914049149, 0.5832638949155807, 0.5834722220897675, 0.5840601831674576, 0.5846713006496429]","[0.44375943690538405, 0.3832449421286583, 0.3233798429369926, 0.3122816398739815, 0.31095349937677386, 0.3099397346377373, 0.3087632730603218, 0.308232681453228, 0.30771526098251345, 0.30749997645616534, 0.306586854159832, 0.306262931227684, 0.3059032574295998, 0.3055418819189072, 0.3052933633327484, 0.3047402039170265, 0.30457971096038816, 0.3042931377887726, 0.304089842736721, 0.30372998118400574]","[0.40483095198869706, 0.3307075396180153, 0.32533643394708633, 0.3248693734407425, 0.32398232370615004, 0.3229368969798088, 0.3222164481878281, 0.3213461384177208, 0.3203946650028229, 0.3199134051799774, 0.31881232708692553, 0.31876703798770906, 0.31808385998010635, 0.3176384523510933, 0.31706310361623763, 0.3163387730717659, 0.3161805421113968, 0.315421262383461, 0.31514540910720823, 0.3145174041390419]"
22/08/2021 14:37:13,20,22/08/2021 17:09:41,22/08/2021 21:02:57,10,"[0.4988095164299011, 0.4989424586296082, 0.5015297591686249, 0.5088115066289902, 0.5156309485435486, 0.5199642777442932, 0.5227460324764251, 0.5242400765419006, 0.5261746108531952, 0.5284186512231827, 0.5281686455011367, 0.5299603193998337, 0.5324583351612091, 0.5324404835700989, 0.5339245975017548, 0.5358670622110366, 0.5367976218461991, 0.5378630876541137, 0.5385773807764054, 0.539686506986618, 0.5406726151704788, 0.5418134927749634, 0.5434226155281067, 0.5430714309215545, 0.5450952410697937, 0.5456269890069961, 0.545503968000412, 0.5472896814346313, 0.5471666663885116, 0.5473789691925048, 0.549398809671402, 0.5492599159479141, 0.5502876996994018, 0.5510218292474747, 0.5511984139680862, 0.5528908759355545, 0.5520238071680069, 0.5528194367885589, 0.5531547605991364, 0.5537757962942124, 0.554180559515953, 0.5548849284648896, 0.5552718251943588, 0.5558313518762589, 0.5567698419094086, 0.5562857151031494, 0.5565079361200332, 0.5565396815538406, 0.5569543659687042, 0.5567777723073959]","[0.5027870178222656, 0.5054166704416275, 0.51424999833107, 0.5211018562316895, 0.5249861091375351, 0.5279074013233185, 0.5307222217321396, 0.5326435208320618, 0.5349305450916291, 0.5366805553436279, 0.5388842523097992, 0.5419861078262329, 0.5436944484710693, 0.5459212988615036, 0.5481574028730393, 0.5498240709304809, 0.5520046293735504, 0.5532870382070542, 0.5549583345651626, 0.5567499965429306, 0.5579444468021393, 0.5591712951660156, 0.5604074031114579, 0.5613611072301865, 0.5619907379150391, 0.5636712998151779, 0.5642546325922012, 0.5650370419025421, 0.5655462980270386, 0.566564816236496, 0.5668055534362793, 0.5681388854980469, 0.5685879588127136, 0.5693101823329926, 0.5698287039995193, 0.5701805591583252, 0.570851844549179, 0.5712916731834412, 0.572097223997116, 0.5723796278238297, 0.5730231463909149, 0.5727870374917984, 0.5733888775110245, 0.5737268537282944, 0.5743981510400772, 0.5747453719377518, 0.5751342624425888, 0.5751203656196594, 0.5758472204208374, 0.5768703699111939]","[0.44347820430994034, 0.3926631286740303, 0.3467920824885368, 0.3265474796295166, 0.3212491452693939, 0.3199255973100662, 0.3189200460910797, 0.3183706641197205, 0.3176630809903145, 0.31672788560390475, 0.31695789843797684, 0.3157575234770775, 0.3149915933609009, 0.31468574702739716, 0.3137287303805351, 0.3135264217853546, 0.3128263011574745, 0.3126277312636375, 0.31207038164138795, 0.31172877103090285, 0.31113181859254835, 0.31104380786418917, 0.31026319563388827, 0.3104520455002785, 0.30948286056518554, 0.30928093791007993, 0.30949712097644805, 0.3087544605135918, 0.3084991231560707, 0.3081221878528595, 0.30733174085617065, 0.3077093496918678, 0.3071072638034821, 0.3067938908934593, 0.3065076023340225, 0.30617194473743437, 0.3064064890146255, 0.3063586637377739, 0.3062600642442703, 0.3059868350625038, 0.30549907088279726, 0.3054958745837212, 0.3052436739206314, 0.3050084337592125, 0.3046538278460503, 0.30507162362337115, 0.30424944758415223, 0.30427519977092743, 0.30434955954551696, 0.3043069541454315]","[0.40597815811634064, 0.3455731734633446, 0.3296860307455063, 0.3291719347238541, 0.3300542965531349, 0.33018919825553894, 0.32981760054826736, 0.3286138862371445, 0.3279981940984726, 0.3267969563603401, 0.32578710168600084, 0.3252150356769562, 0.32423300892114637, 0.3236188545823097, 0.3230732798576355, 0.32253278642892835, 0.32208254039287565, 0.3212269306182861, 0.32086349129676817, 0.3203174814581871, 0.31983391046524046, 0.31945773065090177, 0.31885114312171936, 0.3184111982584, 0.3182215005159378, 0.31804355829954145, 0.31728128492832186, 0.317130871117115, 0.3170045793056488, 0.31652823090553284, 0.31642179787158964, 0.3158411532640457, 0.3158989742398262, 0.31545900702476504, 0.3151305794715881, 0.3147257506847382, 0.3145254999399185, 0.31377733647823336, 0.31411679834127426, 0.3138394445180893, 0.31384666711091996, 0.3134552091360092, 0.31316212862730025, 0.31293861418962476, 0.31244061440229415, 0.3122760936617851, 0.3120010942220688, 0.3117810532450676, 0.31135468930006027, 0.31116414815187454]"
22/08/2021 14:37:13,20,22/08/2021 21:02:58,22/08/2021 23:10:23,14,"[0.4988095164299011, 0.4990277782082558, 0.5127480119466782, 0.5321111053228378, 0.540307542681694, 0.5438789665699005, 0.5454583376646042, 0.5462539702653885, 0.5492857187986374, 0.5498730212450027, 0.5516428470611572, 0.5535317420959472, 0.5536865085363388, 0.5552619099617004, 0.555763891339302, 0.5558988124132156, 0.5564563542604446, 0.5581408739089966, 0.5587261885404586, 0.5588293671607971]","[0.5027962774038315, 0.5148703724145889, 0.5415324062108994, 0.5514537036418915, 0.5554629594087601, 0.559296292066574, 0.5619027763605118, 0.5653518557548523, 0.5674398124217988, 0.5694351822137833, 0.5721111118793487, 0.5736342579126358, 0.5743055552244186, 0.5755925923585892, 0.5763611048460007, 0.5768981516361237, 0.5784907400608063, 0.5791666775941848, 0.5800879627466202, 0.5800972223281861]","[0.443963223695755, 0.38768095076084136, 0.33198650628328324, 0.3169667154550552, 0.3142581030726433, 0.31314871460199356, 0.31233377903699877, 0.31171601116657255, 0.3106835409998894, 0.3099873349070549, 0.30957270264625547, 0.3085820391774178, 0.3083954691886902, 0.3074704870581627, 0.3075122058391571, 0.3069097772240639, 0.3065880089998245, 0.30620383024215697, 0.30599911510944366, 0.3056882917881012]","[0.40421458035707475, 0.33408393412828447, 0.32677070051431656, 0.328386028110981, 0.32766802459955213, 0.3267414152622223, 0.3253731831908226, 0.32458880096673964, 0.32374606728553773, 0.3227569952607155, 0.32219985127449036, 0.3214371085166931, 0.32067527025938036, 0.3202307000756264, 0.3196000248193741, 0.3191404715180397, 0.3186544865369797, 0.3181151822209358, 0.31763940304517746, 0.3170065447688103]"
