start_time,end_time,partition,neural_network_type,similarity_type,embedding_type,embedding_dim,max_seq_length,batch_size,n_epochs,n_hidden,kernel_initializer,kernel_regularizer,bias_regularizer,activity_regularizer,activation,recurrent_activation,dropout,recurrent_dropout,activation_layer,activation_dense_layer,loss,optimizer,learning_rate,clipnorm,accuracy_training,accuracy_validation,loss_training,loss_validation
12/08/2021 20:56:06,12/08/2021 21:22:40,70.0/30.0,LSTM,MANHATTAN,WORD2VEC_GOOGLE_NEWS,300,9,64,20,128,<tensorflow.python.keras.initializers.initializers_v2.GlorotNormal object at 0x0000021D2BB2F588>,,,,softsign,hard_sigmoid,0.24697647633830466,0.06536980304050743,selu,sigmoid,mean_squared_error,Adadelta,0.10000000149011612,1.5,0.5608,0.5742,0.3013,0.3095
12/08/2021 22:23:07,12/08/2021 22:40:29,70.0/30.0,LSTM,MANHATTAN,WORD2VEC_GOOGLE_NEWS,300,5,64,20,128,<tensorflow.python.keras.initializers.initializers_v2.GlorotNormal object at 0x00000248C5819828>,,,,softsign,hard_sigmoid,0.24697647633830466,0.06536980304050743,selu,sigmoid,mean_squared_error,Adadelta,0.10000000149011612,1.5,0.5296,0.5614,0.3135,0.3038
12/08/2021 23:33:51,12/08/2021 23:53:04,70.0/30.0,LSTM,MANHATTAN,WORD2VEC_GOOGLE_NEWS,300,5,16,15,128,<tensorflow.python.keras.initializers.initializers_v2.GlorotNormal object at 0x000001CE71E8F588>,,,,softsign,hard_sigmoid,0.8145803899979214,0.9975531408239052,selu,hard_sigmoid,mean_squared_error,Adam,0.0010000000474974513,2,0.5273,0.5604,0.3106,0.3050
13/08/2021 00:10:00,13/08/2021 00:33:06,70.0/30.0,LSTM,MANHATTAN,WORD2VEC_GOOGLE_NEWS,300,7,64,20,128,<tensorflow.python.keras.initializers.initializers_v2.GlorotNormal object at 0x0000021AC63EF588>,,,,softsign,hard_sigmoid,0.24697647633830466,0.06536980304050743,selu,sigmoid,mean_squared_error,Adadelta,0.10000000149011612,1.5,0.5297,0.5552,0.3134,0.3153
