date,n_rounds,start_time,end_time,max_seq_length,accuracy,val_accuracy,loss,val_loss
22/08/2021 14:37:13,20,22/08/2021 23:10:24,23/08/2021 00:35:57,9,"[0.4988095164299011, 0.4988035663962364, 0.5009345233440399, 0.5188809514045716, 0.5359246015548706, 0.5447261840105057, 0.5482519835233688, 0.5510317504405975, 0.5527857154607773, 0.5534206360578537, 0.5542996048927307, 0.5564662724733352, 0.5568412721157074, 0.5577202409505844, 0.5583492040634155, 0.5588710367679596, 0.5587499976158142, 0.5598829388618469, 0.5606924623250962, 0.5606369107961655]","[0.5027777552604675, 0.5027684986591339, 0.5245879590511322, 0.5563425958156586, 0.5664120435714721, 0.5700462937355042, 0.571310180425644, 0.5727777719497681, 0.5733425945043564, 0.5741898149251938, 0.574972215294838, 0.5752638876438141, 0.5759953707456589, 0.5765555500984192, 0.5768842607736587, 0.5772824078798294, 0.5776574105024338, 0.5775555580854416, 0.5774907410144806, 0.5778564751148224]","[0.448138228058815, 0.40685340464115144, 0.3608779951930046, 0.3263909325003624, 0.31414262056350706, 0.3101735472679138, 0.3090269148349762, 0.30825490951538087, 0.3075427979230881, 0.307452617585659, 0.30688006430864334, 0.3067599549889565, 0.30616010576486585, 0.3056354209780693, 0.30535260736942293, 0.3047259792685509, 0.30491129457950594, 0.30467852354049685, 0.30412791967391967, 0.3038775160908699]","[0.44102713614702227, 0.3821881964802742, 0.3252622351050377, 0.30891557931900027, 0.30753883719444275, 0.3078272551298141, 0.307979927957058, 0.30813743472099303, 0.3082590073347092, 0.30791538804769514, 0.3077752336859703, 0.30744006782770156, 0.30726857036352156, 0.30707290172576907, 0.30699298083782195, 0.3065034240484238, 0.3063568279147148, 0.30604307502508166, 0.30588603019714355, 0.30568471997976304]"
22/08/2021 14:37:13,20,23/08/2021 00:35:57,23/08/2021 01:30:03,5,"[0.4988095164299011, 0.49881150126457213, 0.49896626770496366, 0.5006607115268707, 0.5044761836528778, 0.5067242056131362, 0.5117460280656815, 0.5116964250802993, 0.5146388858556747, 0.5152519881725312, 0.5166388899087906, 0.5171329349279403, 0.518452388048172, 0.5190952360630036, 0.5193908751010895, 0.5206230163574219, 0.5202519834041596, 0.5213392794132232, 0.5218015849590302, 0.522767859697342]","[0.5027777552604675, 0.5027823865413665, 0.503291666507721, 0.5088935136795044, 0.5187222212553024, 0.5258703649044036, 0.5310462921857834, 0.5346342593431472, 0.5367592632770538, 0.5381342560052872, 0.5392500042915345, 0.5402731448411942, 0.5412361115217209, 0.542037034034729, 0.5432037025690079, 0.5438888877630234, 0.5452268540859222, 0.5455787092447281, 0.5464351832866668, 0.5470370382070542]","[0.44966321140527726, 0.41281614899635316, 0.3774760693311691, 0.35235344618558884, 0.33658749908208846, 0.32824674993753433, 0.3233791753649712, 0.32157945781946184, 0.3205208942294121, 0.3197601497173309, 0.31861758083105085, 0.31908988803625105, 0.31830941438674926, 0.3179380685091019, 0.31817628145217897, 0.31756627559661865, 0.3170986264944077, 0.3174050509929657, 0.31736592948436737, 0.3170974552631378]","[0.44652378410100935, 0.40424893647432325, 0.36513127088546754, 0.3388354957103729, 0.324392369389534, 0.31769531816244123, 0.3148606613278389, 0.31367620825767517, 0.3132584348320961, 0.3132573589682579, 0.3133282646536827, 0.31329040676355363, 0.3131878599524498, 0.313172909617424, 0.31300320029258727, 0.3128497049212456, 0.31279604882001877, 0.3126335695385933, 0.3124170497059822, 0.3123108550906181]"
22/08/2021 14:37:13,20,23/08/2021 01:30:04,23/08/2021 04:19:13,7,"[0.4988095164299011, 0.49881150126457213, 0.49942063689231875, 0.5063353195786476, 0.5181587308645248, 0.5253115087747574, 0.5299781709909439, 0.533450397849083, 0.5352043658494949, 0.5371845215559006, 0.5381071448326111, 0.5395972251892089, 0.5405912697315216, 0.541283729672432, 0.5423511862754822, 0.5431230127811432, 0.5445416688919067, 0.5448174595832824, 0.5452281713485718, 0.5467638880014419, 0.5469226241111755, 0.5481884837150574, 0.5480833321809768, 0.5482519894838334, 0.548462301492691, 0.5506507992744446, 0.5500595241785049, 0.5513908684253692, 0.550914677977562, 0.5510238170623779, 0.5517480134963989, 0.5520099192857743, 0.5518611133098602, 0.5531448423862457, 0.5536369055509567, 0.5535515815019607, 0.5537916660308838, 0.5540198415517807, 0.5542361050844192, 0.5547460287809372, 0.5552440404891967, 0.555287703871727, 0.5552400678396225, 0.5565297633409501, 0.5556369036436081, 0.5567122995853424, 0.5568134903907775, 0.556523808836937, 0.5567936539649964, 0.5567896872758865]","[0.5027777552604675, 0.5027823865413665, 0.5081574022769928, 0.5331111133098603, 0.5461666613817215, 0.5516342639923095, 0.5548564821481705, 0.556041669845581, 0.5574351817369461, 0.5590925931930542, 0.5600648194551467, 0.56102314889431, 0.5616342574357986, 0.562097218632698, 0.5631898134946823, 0.5639583379030227, 0.5649074077606201, 0.5654074013233185, 0.5662407368421555, 0.566564816236496, 0.567236116528511, 0.567722225189209, 0.568152779340744, 0.5686851918697358, 0.569097226858139, 0.5700601875782013, 0.5701713025569916, 0.5706249922513962, 0.570976847410202, 0.5711990714073181, 0.5717037081718445, 0.5718425959348679, 0.5720694482326507, 0.571981480717659, 0.5724490761756897, 0.5725648194551468, 0.5728425949811935, 0.5731898158788681, 0.5738472223281861, 0.5736250042915344, 0.5746064811944962, 0.5743472218513489, 0.5746018558740615, 0.5748194456100464, 0.575083339214325, 0.5749305546283722, 0.5752499997615814, 0.5754768490791321, 0.5757500022649765, 0.5760416597127914]","[0.4495300367474556, 0.4105907082557678, 0.3700982600450516, 0.3387963831424713, 0.32243830263614653, 0.3170558288693428, 0.3152470842003822, 0.3139061823487282, 0.31328848749399185, 0.3129415988922119, 0.31238037496805193, 0.311895926296711, 0.31121068447828293, 0.3113888591527939, 0.3106224983930588, 0.3107880502939224, 0.30995329171419145, 0.30965029150247575, 0.3093816965818405, 0.30907647013664247, 0.30860147029161455, 0.3085032120347023, 0.30837337523698805, 0.30824045836925507, 0.3082906812429428, 0.3073719203472137, 0.30732891261577605, 0.30701201856136323, 0.3068065732717514, 0.3068061038851738, 0.30665468573570254, 0.30669938027858734, 0.3065970927476883, 0.3061701640486717, 0.3057473495602608, 0.30563725978136064, 0.3053444638848305, 0.30551463067531587, 0.30578762888908384, 0.30544458627700805, 0.3048571914434433, 0.304780675470829, 0.305047319829464, 0.3043569803237915, 0.3048272982239723, 0.30420559644699097, 0.3044467195868492, 0.30431348383426665, 0.30453830510377883, 0.30402770191431044]","[0.4449411004781723, 0.3945215046405792, 0.34326603412628176, 0.317300745844841, 0.311367329955101, 0.31108021140098574, 0.31156851798295976, 0.31187022775411605, 0.31209522038698195, 0.31213954985141756, 0.31197059005498884, 0.3118467554450035, 0.31150823533535005, 0.3114431709051132, 0.311225663125515, 0.31092007607221606, 0.3107892781496048, 0.31063818782567976, 0.3105025991797447, 0.3102020904421806, 0.31001235246658326, 0.3097387060523033, 0.30940283089876175, 0.30936781167984007, 0.30904838889837266, 0.30900763273239135, 0.30881514102220536, 0.3086925372481346, 0.30856704115867617, 0.30826308727264407, 0.308196422457695, 0.30800362676382065, 0.30796279609203336, 0.3076764315366745, 0.3075328215956688, 0.30744790434837344, 0.30730054825544356, 0.30724055916070936, 0.3070253267884254, 0.3069085910916328, 0.3066567823290825, 0.3066485315561295, 0.306504362821579, 0.30632671564817426, 0.30619740933179856, 0.30609109401702883, 0.30579114854335787, 0.3057880997657776, 0.30582114309072495, 0.3057642415165901]"
