date,n_rounds,start_time,end_time,max_seq_length,accuracy,val_accuracy,loss,val_loss
25/08/2021 03:19:06,20,25/08/2021 03:20:24,25/08/2021 04:12:59,5,"[0.49894642233848574, 0.4989722207188606, 0.49904960095882417, 0.5013432532548905, 0.5051249980926513, 0.5078432559967041, 0.509543651342392, 0.5114623069763183, 0.5131289631128311, 0.5144563496112824, 0.5148908793926239, 0.5152380973100662, 0.5166884899139405, 0.5168154865503312, 0.518430557847023, 0.5186111152172088, 0.519648814201355, 0.5204742074012756, 0.5216944426298141, 0.5213968247175217]","[0.5024583116173744, 0.502787034213543, 0.5057083338499069, 0.5099398121237755, 0.5140787050127983, 0.5171249955892563, 0.519134259223938, 0.5203611195087433, 0.5211990773677826, 0.5221342593431473, 0.5228425860404968, 0.5240601897239685, 0.5249027788639069, 0.5258472174406051, 0.5265324085950851, 0.5274722218513489, 0.5280972212553025, 0.5290092587471008, 0.5298148185014725, 0.5303287088871003]","[0.44752619564533236, 0.4073176935315132, 0.3689020276069641, 0.3440807417035103, 0.3313498944044113, 0.3254547342658043, 0.322945936024189, 0.3214464336633682, 0.3208628296852112, 0.32013451457023623, 0.31976628601551055, 0.31997110247612, 0.3193137437105179, 0.3193677306175232, 0.31905389577150345, 0.3186489686369896, 0.3177580162882805, 0.3177837073802948, 0.3172751784324646, 0.31749762743711474]","[0.4266446277499199, 0.37523839473724363, 0.3452601507306099, 0.33016065061092376, 0.32399427592754365, 0.32240661829710004, 0.32188483476638796, 0.3219330295920372, 0.32201330959796903, 0.32210023552179334, 0.3222372576594353, 0.3222332298755646, 0.3220410764217377, 0.32170206010341645, 0.32156961113214494, 0.3213536024093628, 0.32141204327344897, 0.32107875496149063, 0.3209086760878563, 0.320721460878849]"
25/08/2021 03:19:06,20,25/08/2021 04:12:59,25/08/2021 05:45:32,10,"[0.4988095164299011, 0.49883928447961806, 0.5024801596999169, 0.5108968302607536, 0.5170595288276673, 0.5210456371307373, 0.5236547619104386, 0.5249146848917008, 0.52642063498497, 0.5281091272830963, 0.5294246047735214, 0.5312619000673294, 0.5334067434072495, 0.5339841246604919, 0.5348888874053955, 0.5360932618379592, 0.5367301642894745, 0.5388968199491501, 0.5394444435834884, 0.5402599215507508]","[0.5027684986591339, 0.5064490765333176, 0.5150740772485733, 0.5218240708112717, 0.525680559873581, 0.5284166634082794, 0.5302546262741089, 0.5330833315849304, 0.5346527725458146, 0.5365555584430695, 0.5380231440067291, 0.5402083307504654, 0.5421620339155198, 0.54375, 0.5463842540979386, 0.548462963104248, 0.5498518466949462, 0.5519074112176895, 0.5541203677654266, 0.5558425962924958]","[0.4450219556689262, 0.39437865763902663, 0.34755381792783735, 0.32688063830137254, 0.3214773267507553, 0.3197141245007515, 0.3186348333954811, 0.317941290140152, 0.3174364537000656, 0.31685028076171873, 0.31619173288345337, 0.3154015585780144, 0.3149105414748192, 0.31429184079170225, 0.31387896090745926, 0.31348710507154465, 0.31311445981264113, 0.3122554197907448, 0.3117985025048256, 0.3117228433489799]","[0.40967427045106886, 0.3471667692065239, 0.33156290650367737, 0.33077322095632555, 0.33147093206644057, 0.3317147359251976, 0.3314584016799927, 0.33090553134679795, 0.3303299590945244, 0.3295620158314705, 0.3289052680134773, 0.32824819087982177, 0.32731693238019943, 0.32648721188306806, 0.3254761159420013, 0.32492168843746183, 0.32420547902584074, 0.3235617831349373, 0.32280111610889434, 0.3223152726888657]"
25/08/2021 03:19:06,20,25/08/2021 05:45:33,25/08/2021 08:00:28,15,"[0.4988095164299011, 0.49925595074892043, 0.5148968249559402, 0.5362460315227509, 0.5435138881206513, 0.5470297664403916, 0.5498452395200729, 0.5520992159843445, 0.5528055667877197, 0.5539563477039338, 0.5553789675235749, 0.5565892845392227, 0.5574146866798401, 0.55783531665802, 0.5582400828599929, 0.5591111153364181, 0.560529762506485, 0.5596904754638672, 0.5614424675703049, 0.5615138918161392]","[0.5028240531682968, 0.518495374917984, 0.543902775645256, 0.5541435182094574, 0.5590324014425277, 0.563143515586853, 0.5665509194135666, 0.5694583356380463, 0.5710092574357987, 0.5735324114561081, 0.574680557847023, 0.5761342585086823, 0.5777870327234268, 0.5794120341539383, 0.5801064819097519, 0.5809583365917206, 0.5817824125289917, 0.582259264588356, 0.5829212903976441, 0.5829768478870392]","[0.4431991219520569, 0.38562698662281036, 0.33070545345544816, 0.31571353524923323, 0.3132533445954323, 0.31214280873537065, 0.31138173043727874, 0.3101757228374481, 0.3096875503659248, 0.3090986281633377, 0.30830086320638656, 0.3075924351811409, 0.30757835507392883, 0.30689897388219833, 0.3066349670290947, 0.30603286623954773, 0.30566702485084535, 0.30512801855802535, 0.304901285469532, 0.3047322601079941]","[0.40197721868753433, 0.3333510771393776, 0.32611645609140394, 0.3269291490316391, 0.32626315057277677, 0.3253066688776016, 0.3243830561637878, 0.3236419603228569, 0.3225095495581627, 0.3214731618762016, 0.3208554372191429, 0.3200042799115181, 0.3193581596016884, 0.3187956720590591, 0.3181427329778671, 0.3178662911057472, 0.3172164559364319, 0.31681650429964064, 0.3162922769784927, 0.3157623872160912]"
25/08/2021 03:19:06,20,25/08/2021 08:00:29,25/08/2021 10:57:21,20,"[0.4988095164299011, 0.5005932554602623, 0.5291666641831398, 0.5482757955789566, 0.5534305512905121, 0.5558809459209442, 0.5575317442417145, 0.5587301582098008, 0.5596765965223313, 0.5601190477609634, 0.5615297585725785, 0.5622003972530365, 0.5612162709236145, 0.5625377029180527, 0.5636190444231033, 0.5630575388669967, 0.5628194451332093, 0.5638194411993027, 0.5645138949155808, 0.5648055464029312]","[0.5028610974550247, 0.5323055475950241, 0.5563472270965576, 0.5631527811288833, 0.5670324116945267, 0.5697175890207291, 0.5713425904512406, 0.5733796298503876, 0.5751064777374267, 0.5767962962388993, 0.5780925899744034, 0.5787407457828522, 0.5796574175357818, 0.5802268564701081, 0.5813657373189927, 0.5818981528282166, 0.5821435183286667, 0.5828518509864807, 0.5834675878286362, 0.5837870359420776]","[0.4432250693440437, 0.37917973548173906, 0.32268543988466264, 0.31250244975090025, 0.3107173085212708, 0.309838180243969, 0.30874430388212204, 0.30813192278146745, 0.30786300003528594, 0.30692218989133835, 0.3062656417489052, 0.30589631050825117, 0.3058182954788208, 0.30541964471340177, 0.30486200004816055, 0.3047505900263786, 0.30503651946783067, 0.3043177217245102, 0.30411175042390826, 0.303726401925087]","[0.4017369315028191, 0.330517390370369, 0.32603887617588045, 0.3260089337825775, 0.3245677098631859, 0.3233357444405556, 0.3219162330031395, 0.32101117372512816, 0.320185586810112, 0.3195726275444031, 0.3184884250164032, 0.3181597039103508, 0.31756224632263186, 0.3171692222356796, 0.31650479733943937, 0.3160977020859718, 0.3153908312320709, 0.3148645728826523, 0.3142756000161171, 0.3140333965420723]"
25/08/2021 03:19:06,20,25/08/2021 10:57:21,25/08/2021 14:34:05,25,"[0.4988095164299011, 0.5004662662744522, 0.5297797679901123, 0.5523273766040802, 0.5565952330827713, 0.5589146822690964, 0.5594583302736282, 0.5604940474033355, 0.5609861105680466, 0.5610853135585785, 0.5623571395874023, 0.562799596786499, 0.5629920661449432, 0.5634880989789963, 0.563488095998764, 0.5637718230485916, 0.5641845226287842, 0.5639821410179138, 0.5653650760650635, 0.5649484127759934]","[0.5027823865413665, 0.5314074069261551, 0.5627916693687439, 0.5669351816177368, 0.5700972318649292, 0.5712638944387436, 0.572777783870697, 0.5743888884782791, 0.5754629641771316, 0.5764166623353958, 0.5773981511592865, 0.5784861087799072, 0.5785231530666352, 0.5795694440603256, 0.5805925905704499, 0.5803842544555664, 0.5808379620313644, 0.5809814810752869, 0.5818194448947906, 0.5821435123682022]","[0.44469258189201355, 0.38460094332695005, 0.3223859414458275, 0.3110693201422691, 0.30976850986480714, 0.3085563376545906, 0.3079408288002014, 0.30739109963178635, 0.30700503289699554, 0.3064847499132156, 0.3057897940278053, 0.3054570958018303, 0.3053166180849075, 0.3046512857079506, 0.30449476540088655, 0.30414798110723495, 0.304263211786747, 0.30377678722143175, 0.3032877057790756, 0.3032157450914383]","[0.4099265024065971, 0.3297570049762726, 0.32472174763679507, 0.3234689965844154, 0.3225965782999992, 0.32094967663288115, 0.3201409712433815, 0.3192317023873329, 0.3182003125548363, 0.3174500197172165, 0.3166669771075249, 0.3163864895701408, 0.3161454454064369, 0.31534533202648163, 0.31479044407606127, 0.31438290178775785, 0.3138256505131721, 0.3130497932434082, 0.31303579211235044, 0.3127535209059715]"
25/08/2021 03:19:06,20,25/08/2021 14:34:06,25/08/2021 18:50:55,30,"[0.4988095164299011, 0.5027579352259636, 0.5403750032186508, 0.5570317447185517, 0.5594702333211898, 0.5606329381465912, 0.5614940404891968, 0.5621746093034744, 0.5625535726547242, 0.5626428604125977, 0.5632777780294418, 0.5633174657821656, 0.5637500017881394, 0.5644404798746109, 0.564164686203003, 0.5650178641080856, 0.5649365067481995, 0.5652142882347106, 0.5657063543796539, 0.5653908729553223]","[0.5027685016393661, 0.5436250001192093, 0.5654074043035507, 0.5686759293079376, 0.5706435173749924, 0.5719907402992248, 0.5731249928474427, 0.574449074268341, 0.5749537020921707, 0.5755787044763565, 0.5763425916433335, 0.5771805495023727, 0.5783148139715195, 0.5792361170053482, 0.579263886809349, 0.5796574145555496, 0.5803425967693329, 0.5803564846515655, 0.5807685166597366, 0.5810879588127136]","[0.443247951567173, 0.37379057705402374, 0.3157273203134537, 0.30892730355262754, 0.3079118952155113, 0.3073040947318077, 0.3068202957510948, 0.30637030452489855, 0.30565511882305146, 0.3054484218358994, 0.3049398049712181, 0.30469740778207777, 0.30417016595602037, 0.3041466623544693, 0.3036633551120758, 0.30338898599147796, 0.30316122621297836, 0.30264305472373965, 0.3027706414461136, 0.30247188955545423]","[0.4003243774175644, 0.326484015583992, 0.3230371043086052, 0.32277184575796125, 0.32163251042366026, 0.3204594060778618, 0.3193476527929306, 0.3189876824617386, 0.3179066598415375, 0.31725228428840635, 0.3163143306970596, 0.31576949208974836, 0.31571855396032333, 0.31452823132276536, 0.3142521411180496, 0.31402918994426726, 0.313591855764389, 0.3135284408926964, 0.3128793329000473, 0.3125439003109932]"
25/08/2021 03:19:06,20,25/08/2021 18:50:56,25/08/2021 23:50:50,35,"[0.4988095164299011, 0.5007599160075188, 0.5340872973203659, 0.5544206351041794, 0.5587261885404586, 0.5591547697782516, 0.5603611141443252, 0.5612162619829177, 0.5609841197729111, 0.5609365105628967, 0.5619980156421661, 0.5626785695552826, 0.5631904751062393, 0.5636924564838409, 0.5641845256090164, 0.5637916624546051, 0.5649126887321472, 0.5650793641805649, 0.5646269857883454, 0.5658154785633087]","[0.5027777552604675, 0.5354675948619843, 0.5638101816177368, 0.5683564752340317, 0.5698379695415496, 0.571921294927597, 0.5726851791143417, 0.5737129628658295, 0.574787038564682, 0.5757731467485427, 0.5758935123682022, 0.5766712963581085, 0.5773981511592865, 0.5774583399295807, 0.5781018525362015, 0.5787731558084488, 0.5792870372533798, 0.5794768512248993, 0.5797036975622177, 0.5801759213209152]","[0.4463140606880188, 0.38508567959070206, 0.31976246982812884, 0.3088632211089134, 0.3078634709119797, 0.30716858357191085, 0.3064620032906532, 0.30628358125686644, 0.30566391795873643, 0.30560174584388733, 0.3048051342368126, 0.3047094509005547, 0.3045289978384972, 0.3040315479040146, 0.30375706404447556, 0.3035390093922615, 0.30345606803894043, 0.30301246494054795, 0.30303495228290556, 0.3023704320192337]","[0.4131371647119522, 0.3304297015070915, 0.3225040629506111, 0.32233123779296874, 0.3205880790948868, 0.31951072961092, 0.3184478715062141, 0.3177449002861977, 0.3171168267726898, 0.3157192036509514, 0.31547275334596636, 0.31509761363267896, 0.314458966255188, 0.3144747704267502, 0.3133150652050972, 0.3134704425930977, 0.31250747442245486, 0.3118711233139038, 0.3120976462960243, 0.31168014109134673]"
25/08/2021 03:19:06,20,25/08/2021 23:50:51,26/08/2021 07:05:23,50,"[0.4988095164299011, 0.5019880950450897, 0.5374027848243713, 0.5530734121799469, 0.5570257931947709, 0.5591646879911423, 0.5606646806001663, 0.5614305526018143, 0.5616210281848908, 0.5627083331346512, 0.5632678627967834, 0.5634087234735489, 0.5631587326526641, 0.5636865109205246, 0.5637400805950165, 0.5652123004198074, 0.5654325395822525, 0.5654186546802521, 0.5654126942157746, 0.5665595203638076]","[0.5027638673782349, 0.5423981517553329, 0.5608240753412247, 0.5616342544555664, 0.566671296954155, 0.5682962954044342, 0.5702962905168534, 0.5720972210168839, 0.5737268507480622, 0.5746296286582947, 0.5751851797103882, 0.5770972222089767, 0.5769351840019226, 0.577597227692604, 0.5785972267389298, 0.5788657426834106, 0.5793287068605423, 0.5799166649580002, 0.5799722224473953, 0.580439817905426]","[0.44406269043684005, 0.3762322187423706, 0.3169813841581345, 0.31000091731548307, 0.30819529891014097, 0.30746431201696395, 0.3064172774553299, 0.3057366445660591, 0.3054694429039955, 0.30478992611169814, 0.30426024049520495, 0.3043144136667252, 0.30396615117788317, 0.3034911975264549, 0.3035489946603775, 0.30276360362768173, 0.3026917904615402, 0.3024216279387474, 0.302565898001194, 0.3018000841140747]","[0.404507951438427, 0.32566321939229964, 0.3227053925395012, 0.3302969068288803, 0.3199517220258713, 0.31879967600107195, 0.317565056681633, 0.31627155989408495, 0.31591286361217497, 0.31512459367513657, 0.3142566576600075, 0.31429610699415206, 0.3135690227150917, 0.3123722359538078, 0.3125017091631889, 0.3127230703830719, 0.31173122972249984, 0.3110799312591553, 0.31085699498653413, 0.3110403373837471]"
25/08/2021 03:19:06,20,26/08/2021 07:05:24,26/08/2021 17:50:10,75,"[0.4988095164299011, 0.5005476176738739, 0.5268095225095749, 0.5404900819063186, 0.5443849176168442, 0.5484523832798004, 0.5506845235824585, 0.5518472254276275, 0.5555773794651031, 0.5557956367731094, 0.5584563463926315, 0.5593234091997147, 0.5596904724836349, 0.5606011867523193, 0.5613670617341995, 0.5607817530632019, 0.5612182468175888, 0.5636785715818405, 0.5636924624443054, 0.5644246101379394]","[0.5027777552604675, 0.5291388869285584, 0.5429074078798294, 0.5523749977350235, 0.5592268496751786, 0.5571944385766983, 0.5608333349227905, 0.5624907404184342, 0.5587824046611786, 0.5679166704416275, 0.5695601791143418, 0.57153240442276, 0.5728657394647598, 0.5742268592119217, 0.5683703660964966, 0.5731666654348373, 0.5771435171365737, 0.5779675900936126, 0.5782962918281556, 0.579282408952713]","[0.44432601481676104, 0.3851149454712868, 0.3263318255543709, 0.32125731855630874, 0.31980762630701065, 0.3163330778479576, 0.3152822911739349, 0.31405201405286787, 0.31027198433876035, 0.31082712262868883, 0.307887901365757, 0.3073450729250908, 0.30679488033056257, 0.30572992712259295, 0.3061258405447006, 0.30799431204795835, 0.3060759469866753, 0.30420715510845187, 0.30449687540531156, 0.30312539935112]","[0.40926384925842285, 0.33486646562814715, 0.35707576721906664, 0.3372511401772499, 0.32372444570064546, 0.3305305227637291, 0.3296520262956619, 0.3251429334282875, 0.33648643344640733, 0.3174158051609993, 0.3166253849864006, 0.31551208049058915, 0.3149453982710838, 0.3137647181749344, 0.3311014950275421, 0.3207008019089699, 0.3120284900069237, 0.312587183713913, 0.3112189114093781, 0.3115335300564766]"
