start_time,end_time,partition,neural_network_type,similarity_type,embedding_type,embedding_dim,max_seq_length,batch_size,n_epochs,n_hidden,kernel_initializer,kernel_regularizer,bias_regularizer,activity_regularizer,activation,recurrent_activation,dropout,recurrent_dropout,activation_layer,activation_dense_layer,loss,optimizer,learning_rate,clipnorm,accuracy_training,accuracy_validation,loss_training,loss_validation
13/08/2021 02:31:10,13/08/2021 02:59:45,70.0/30.0,LSTM,MANHATTAN,WORD2VEC_GOOGLE_NEWS,300,9,64,20,128,<tensorflow.python.keras.initializers.initializers_v2.GlorotNormal object at 0x000001D89207F5C0>,,,,softsign,hard_sigmoid,0.24697647633830466,0.06536980304050743,selu,sigmoid,mean_squared_error,Adadelta,0.10000000149011612,1.5,0.5532,0.5687,0.3068,0.3116
13/08/2021 07:00:28,13/08/2021 07:16:45,70.0/30.0,LSTM,MANHATTAN,WORD2VEC_GOOGLE_NEWS,300,5,64,20,128,<tensorflow.python.keras.initializers.initializers_v2.GlorotNormal object at 0x000001D891F15C88>,,,,softsign,hard_sigmoid,0.24697647633830466,0.06536980304050743,selu,sigmoid,mean_squared_error,Adadelta,0.10000000149011612,1.5,0.5230,0.5408,0.3143,0.3111
13/08/2021 15:35:09,13/08/2021 15:56:34,70.0/30.0,LSTM,MANHATTAN,WORD2VEC_GOOGLE_NEWS,300,7,64,20,128,<tensorflow.python.keras.initializers.initializers_v2.GlorotNormal object at 0x000001DA635A6CC0>,,,,softsign,hard_sigmoid,0.24697647633830466,0.06536980304050743,selu,sigmoid,mean_squared_error,Adadelta,0.10000000149011612,1.5,0.5501,0.5719,0.3088,0.3092
