date,n_rounds,start_time,end_time,max_seq_length,accuracy,val_accuracy,loss,val_loss
22/08/2021 14:37:13,20,23/08/2021 04:19:13,23/08/2021 05:45:04,9,"[0.4988095164299011, 0.4988075330853462, 0.4999146819114685, 0.511781744658947, 0.5262817472219468, 0.533946430683136, 0.5379424631595612, 0.5425654798746109, 0.5438055634498596, 0.545442458987236, 0.5453273773193359, 0.5470595240592957, 0.547972223162651, 0.5489246010780334, 0.5494821429252624, 0.55202976167202, 0.5520634949207306, 0.5527480155229568, 0.5536091268062592, 0.5530555516481399]","[0.5027777552604675, 0.5027777552604675, 0.5147037029266357, 0.5431759238243103, 0.5540138930082321, 0.5588009238243103, 0.561129629611969, 0.5622314840555191, 0.5631435185670852, 0.564314815402031, 0.5654212981462479, 0.5663564801216125, 0.567249995470047, 0.567629623413086, 0.5680648118257523, 0.5690925896167756, 0.5691851854324341, 0.5692083358764648, 0.5698657333850861, 0.569907408952713]","[0.450137785077095, 0.41182414442300797, 0.368370446562767, 0.3340385854244232, 0.31854355037212373, 0.3145634472370148, 0.3129729777574539, 0.31155371516942976, 0.3110035315155983, 0.31041553765535357, 0.3100242495536804, 0.3096461042761803, 0.3092757612466812, 0.30910825729370117, 0.30868586152791977, 0.3078262865543365, 0.3077754572033882, 0.3072242736816406, 0.30718965381383895, 0.3068800002336502]","[0.4472737401723862, 0.395001420378685, 0.33836036175489426, 0.3149892076849937, 0.3115902453660965, 0.31179251074790953, 0.31235162615776063, 0.3123214811086655, 0.31218087375164033, 0.31196409463882446, 0.31188106834888457, 0.31156392842531205, 0.31133936196565626, 0.31117883771657945, 0.3109701231122017, 0.31067639887332915, 0.31052075028419496, 0.31001433432102204, 0.30984450578689576, 0.30965818017721175]"
22/08/2021 14:37:13,20,23/08/2021 05:45:04,23/08/2021 06:37:51,5,"[0.4988095164299011, 0.49881150126457213, 0.49879166930913926, 0.49980356842279433, 0.5019047603011131, 0.5042876973748207, 0.5070753961801528, 0.5074067443609238, 0.5092380970716477, 0.5112876981496811, 0.5125079393386841, 0.512259915471077, 0.5126607179641723, 0.5133571475744247, 0.5140079438686371, 0.5143571466207504, 0.5138968318700791, 0.5159226149320603, 0.5171706408262253, 0.5175257980823517]","[0.5027777552604675, 0.5027731269598007, 0.5030786961317062, 0.5079259246587753, 0.5167407393455505, 0.5229675889015197, 0.526287031173706, 0.5290740698575973, 0.5313425898551941, 0.5327037066221237, 0.5340879619121551, 0.5355370372533799, 0.5361990749835968, 0.5373935133218766, 0.538162037730217, 0.5394861102104187, 0.5406250029802322, 0.5413611114025116, 0.5426620334386826, 0.5433148115873336]","[0.44921033680438993, 0.4129841759800911, 0.3792319655418396, 0.35402449816465376, 0.3383790746331215, 0.3303218990564346, 0.3260806411504745, 0.32397509515285494, 0.32242587953805923, 0.32181324660778043, 0.32076060920953753, 0.32079917937517166, 0.32075995206832886, 0.3204966366291046, 0.3200621768832207, 0.3200614333152771, 0.31981663405895233, 0.3192654877901077, 0.31905362755060196, 0.3189783200621605]","[0.44763240665197374, 0.406630539894104, 0.36819969713687895, 0.3414665549993515, 0.3264704570174217, 0.3191769689321518, 0.31582813858985903, 0.3142994403839111, 0.31355745196342466, 0.3131031572818756, 0.3127911239862442, 0.31260390430688856, 0.31236982345581055, 0.31227252781391146, 0.31210881769657134, 0.31177412420511247, 0.31160520315170287, 0.31137229800224303, 0.3111556336283684, 0.31095348596572875]"
22/08/2021 14:37:13,20,23/08/2021 06:37:52,23/08/2021 07:47:46,7,"[0.4988095164299011, 0.49881150126457213, 0.49925396740436556, 0.5033531814813614, 0.5112182557582855, 0.517404755949974, 0.5224444448947907, 0.5248432517051697, 0.5285634815692901, 0.5291051536798477, 0.5311567485332489, 0.5319166630506516, 0.5323809593915939, 0.5341567486524582, 0.5353353232145309, 0.5352817505598069, 0.5367103189229965, 0.5379365056753158, 0.5374325394630433, 0.5402460366487503]","[0.5027777552604675, 0.5027731269598007, 0.5057916671037674, 0.523949071764946, 0.5378518462181091, 0.544754633307457, 0.5484166651964187, 0.5509537041187287, 0.5527824133634567, 0.5543425917625427, 0.5557268589735032, 0.5571111083030701, 0.5578611135482788, 0.5581712990999221, 0.55954629778862, 0.5598935216665268, 0.5604490667581559, 0.56109259724617, 0.5615601807832717, 0.5618981450796128]","[0.4489617273211479, 0.4099811017513275, 0.3714456856250763, 0.3429961115121841, 0.32756186574697493, 0.3213865503668785, 0.31839547902345655, 0.3167555570602417, 0.3155318647623062, 0.3153171494603157, 0.3145769327878952, 0.3144024252891541, 0.3142984867095947, 0.31353056728839873, 0.3137355625629425, 0.31334051936864854, 0.312812565267086, 0.312090539932251, 0.3125521793961525, 0.3113785833120346]","[0.4429774284362793, 0.3938236147165298, 0.3479268282651901, 0.3220464468002319, 0.31346632689237597, 0.31158138662576673, 0.3116224482655525, 0.3119127631187439, 0.31214589625597, 0.31214350163936616, 0.31211278289556504, 0.31212242543697355, 0.3120923489332199, 0.31205641478300095, 0.3117887407541275, 0.3115503802895546, 0.31136683374643326, 0.31125056445598603, 0.3111345961689949, 0.3108504429459572]"
