date,round,start_time,end_time,max_seq_length,accuracy,val_accuracy,loss,val_loss
22/08/2021 14:37:13,1,22/08/2021 14:37:55,22/08/2021 14:45:32,17,"[0.5001587271690369, 0.5003571510314941, 0.5305952429771423, 0.5481349229812622, 0.550595223903656, 0.5544047355651855, 0.5562301874160767, 0.5604761838912964, 0.5573809742927551, 0.5579761862754822, 0.5615079402923584, 0.5628571510314941, 0.5601190328598022, 0.5601587295532227, 0.5596428513526917, 0.5598412752151489, 0.5618253946304321, 0.5617460608482361, 0.564047634601593, 0.5636904835700989]","[0.4996296167373657, 0.5178703665733337, 0.5647222399711609, 0.5713889002799988, 0.5729629397392273, 0.5776851773262024, 0.5776851773262024, 0.5790740847587585, 0.5785185098648071, 0.57833331823349, 0.579537034034729, 0.5794444680213928, 0.5774074196815491, 0.5798147916793823, 0.5799074172973633, 0.5810185074806213, 0.5797222256660461, 0.5806481242179871, 0.5814814567565918, 0.5813888907432556]","[0.44288694858551025, 0.3943341076374054, 0.32117959856987, 0.3104129135608673, 0.3101890981197357, 0.31036970019340515, 0.3080884516239166, 0.3073829412460327, 0.3071516156196594, 0.3072391748428345, 0.30458301305770874, 0.30556491017341614, 0.3062290847301483, 0.3046637177467346, 0.3063589334487915, 0.3056837320327759, 0.3042016923427582, 0.3041735887527466, 0.30427297949790955, 0.30386775732040405]","[0.4245850145816803, 0.3303684592247009, 0.32386115193367004, 0.321870356798172, 0.32419317960739136, 0.32308363914489746, 0.32241424918174744, 0.32173797488212585, 0.3213276267051697, 0.32015734910964966, 0.3192969262599945, 0.3190598487854004, 0.3205791115760803, 0.31895962357521057, 0.31755146384239197, 0.31685638427734375, 0.31930989027023315, 0.31858646869659424, 0.3171065151691437, 0.316740483045578]"
22/08/2021 14:37:13,2,22/08/2021 14:45:32,22/08/2021 14:53:04,17,"[0.4988095164299011, 0.5009920597076416, 0.5345237851142883, 0.5517063736915588, 0.5566269755363464, 0.5571428537368774, 0.5590872764587402, 0.558134913444519, 0.560952365398407, 0.5624206066131592, 0.559920608997345, 0.5605158805847168, 0.5636507868766785, 0.5622618794441223, 0.5605555772781372, 0.5649603009223938, 0.5651190280914307, 0.5651587247848511, 0.5660714507102966, 0.5628968477249146]","[0.5027777552604675, 0.5393518805503845, 0.5622222423553467, 0.5637962818145752, 0.567037045955658, 0.5718518495559692, 0.5719444155693054, 0.5756481289863586, 0.574999988079071, 0.5772222280502319, 0.5785185098648071, 0.580740749835968, 0.5829629898071289, 0.5824999809265137, 0.5862036943435669, 0.5849999785423279, 0.5854629874229431, 0.5833333134651184, 0.5856481194496155, 0.5862963199615479]","[0.44407492876052856, 0.37052053213119507, 0.317073255777359, 0.3113018572330475, 0.30994442105293274, 0.3093242347240448, 0.30794161558151245, 0.3078411817550659, 0.3068613111972809, 0.3056696951389313, 0.30591973662376404, 0.30676257610321045, 0.30608221888542175, 0.30481457710266113, 0.3034636378288269, 0.3048287332057953, 0.30373239517211914, 0.3031975328922272, 0.3032873868942261, 0.3045997619628906]","[0.3859456479549408, 0.3276689648628235, 0.3259798586368561, 0.32451310753822327, 0.32278695702552795, 0.32254379987716675, 0.32185184955596924, 0.32249096035957336, 0.32195839285850525, 0.3210093677043915, 0.3191908001899719, 0.3183106482028961, 0.31722718477249146, 0.3155994415283203, 0.31641244888305664, 0.3150487542152405, 0.3149468004703522, 0.31347617506980896, 0.3141985237598419, 0.31326156854629517]"
22/08/2021 14:37:13,3,22/08/2021 14:53:05,22/08/2021 15:00:39,17,"[0.4988095164299011, 0.4992857277393341, 0.5233333110809326, 0.5519444346427917, 0.5557936429977417, 0.557023823261261, 0.5576587319374084, 0.5547618865966797, 0.5580952167510986, 0.5612698197364807, 0.5612301826477051, 0.5641269683837891, 0.559920608997345, 0.5653174519538879, 0.5618253946304321, 0.5662301778793335, 0.5646428465843201, 0.5660317540168762, 0.5667063593864441, 0.5643650889396667]","[0.5027777552604675, 0.5224074125289917, 0.5558333396911621, 0.5641666650772095, 0.5662962794303894, 0.5690740942955017, 0.5718518495559692, 0.5745370388031006, 0.5776851773262024, 0.5790740847587585, 0.5812036991119385, 0.5799074172973633, 0.5801851749420166, 0.5802778005599976, 0.5812036991119385, 0.584074079990387, 0.5846296548843384, 0.5831481218338013, 0.5821296572685242, 0.5850926041603088]","[0.44188642501831055, 0.38285791873931885, 0.3246605396270752, 0.31215667724609375, 0.30961528420448303, 0.3087635040283203, 0.30838584899902344, 0.3077337443828583, 0.30734387040138245, 0.3067009150981903, 0.30621886253356934, 0.3058587908744812, 0.30588704347610474, 0.3057962954044342, 0.3050469160079956, 0.30365875363349915, 0.30348581075668335, 0.30357006192207336, 0.30345672369003296, 0.30401018261909485]","[0.39797231554985046, 0.32809990644454956, 0.3217511773109436, 0.32284092903137207, 0.3229353725910187, 0.3215149939060211, 0.3207913041114807, 0.3201140761375427, 0.31975898146629333, 0.3185907006263733, 0.31859081983566284, 0.3181760311126709, 0.3174191117286682, 0.31701791286468506, 0.3159390687942505, 0.3154626190662384, 0.3150794804096222, 0.3138839304447174, 0.3140808641910553, 0.31318399310112]"
22/08/2021 14:37:13,4,22/08/2021 15:00:39,22/08/2021 15:08:13,17,"[0.4988095164299011, 0.4987698495388031, 0.5145238041877747, 0.5408333539962769, 0.5473015904426575, 0.5526190400123596, 0.5558333396911621, 0.5515079498291016, 0.5541666746139526, 0.5535317659378052, 0.5567857027053833, 0.555992066860199, 0.5584920644760132, 0.55650794506073, 0.5557539463043213, 0.5586110949516296, 0.5584126710891724, 0.5609126687049866, 0.5581746101379395, 0.5566666722297668]","[0.5027777552604675, 0.5135185122489929, 0.544259250164032, 0.5509259104728699, 0.5562037229537964, 0.5603703856468201, 0.5624074339866638, 0.5630555748939514, 0.5663889050483704, 0.5695370435714722, 0.5713889002799988, 0.5733333230018616, 0.572685182094574, 0.5729629397392273, 0.5740740895271301, 0.5746296048164368, 0.5761111378669739, 0.5764814615249634, 0.5774074196815491, 0.5764814615249634]","[0.4483214318752289, 0.39476558566093445, 0.32977139949798584, 0.31473419070243835, 0.3121815621852875, 0.3117978572845459, 0.3089582920074463, 0.3107287287712097, 0.3101656138896942, 0.3106323182582855, 0.3094360828399658, 0.30762675404548645, 0.3084167540073395, 0.3064435124397278, 0.3075413405895233, 0.30625826120376587, 0.3054349720478058, 0.3064558804035187, 0.3068232536315918, 0.30513644218444824]","[0.4095614552497864, 0.3418218195438385, 0.33127209544181824, 0.3298814296722412, 0.32714226841926575, 0.3246223032474518, 0.32296809554100037, 0.32154643535614014, 0.3211217224597931, 0.32002362608909607, 0.3203924000263214, 0.32156816124916077, 0.31954219937324524, 0.32050827145576477, 0.3203488886356354, 0.3201961815357208, 0.3195562958717346, 0.31982919573783875, 0.31758636236190796, 0.31849968433380127]"
22/08/2021 14:37:13,5,22/08/2021 15:08:14,22/08/2021 15:15:46,17,"[0.4988095164299011, 0.4990476071834564, 0.5304365158081055, 0.555992066860199, 0.5559523701667786, 0.5589682459831238, 0.5632936358451843, 0.5602381229400635, 0.5633730292320251, 0.5596428513526917, 0.5628174543380737, 0.5625793933868408, 0.5626587271690369, 0.5659127235412598, 0.5644444227218628, 0.5639285445213318, 0.5629761815071106, 0.5638095140457153, 0.5623412728309631, 0.5632539391517639]","[0.5027777552604675, 0.528333306312561, 0.5695370435714722, 0.5745370388031006, 0.5773147940635681, 0.5779629349708557, 0.5814814567565918, 0.5812036991119385, 0.5825926065444946, 0.5813888907432556, 0.5843518376350403, 0.5833333134651184, 0.5838888883590698, 0.5855555534362793, 0.5860185027122498, 0.5860185027122498, 0.585185170173645, 0.5838888883590698, 0.585277795791626, 0.5879629850387573]","[0.4463324546813965, 0.3963656425476074, 0.31980496644973755, 0.3083452582359314, 0.30910059809684753, 0.30867916345596313, 0.30614709854125977, 0.3070686161518097, 0.3047865331172943, 0.3066520094871521, 0.3059290051460266, 0.3038540482521057, 0.3063037395477295, 0.30436208844184875, 0.305269330739975, 0.3035566508769989, 0.3044465482234955, 0.30499914288520813, 0.3032267689704895, 0.30286964774131775]","[0.4345822334289551, 0.32610994577407837, 0.31710970401763916, 0.3188856542110443, 0.31871098279953003, 0.31853750348091125, 0.318347692489624, 0.3182121217250824, 0.3168765902519226, 0.31796029210090637, 0.31478914618492126, 0.31553635001182556, 0.3143567442893982, 0.3147335648536682, 0.313886821269989, 0.3117769956588745, 0.3120849132537842, 0.3110286295413971, 0.3124825656414032, 0.3119445741176605]"
22/08/2021 14:37:13,6,22/08/2021 15:15:46,22/08/2021 15:23:21,17,"[0.4988095164299011, 0.4988095164299011, 0.5138888955116272, 0.5486904978752136, 0.5579364895820618, 0.5603571534156799, 0.5590079426765442, 0.5617856979370117, 0.5589285492897034, 0.5572222471237183, 0.5622618794441223, 0.5623809695243835, 0.5617460608482361, 0.5654761791229248, 0.5649603009223938, 0.5599603056907654, 0.5621031522750854, 0.5647222399711609, 0.5671428442001343, 0.5664682388305664]","[0.5027777552604675, 0.5109259486198425, 0.5593518614768982, 0.5688889026641846, 0.5736111402511597, 0.5743518471717834, 0.5760185122489929, 0.5775926113128662, 0.5780555605888367, 0.5797222256660461, 0.5805555582046509, 0.5824999809265137, 0.5844444632530212, 0.5854629874229431, 0.5862963199615479, 0.5872222185134888, 0.5882407426834106, 0.5880555510520935, 0.5878703594207764, 0.5888888835906982]","[0.44455602765083313, 0.4004221558570862, 0.3349572420120239, 0.31190168857574463, 0.31003060936927795, 0.3082839548587799, 0.3072812557220459, 0.30585363507270813, 0.3070354759693146, 0.3080943524837494, 0.3046031594276428, 0.30593422055244446, 0.3044905960559845, 0.3050073981285095, 0.30406731367111206, 0.30444690585136414, 0.30361542105674744, 0.3028351068496704, 0.3012661635875702, 0.3029683530330658]","[0.4329420328140259, 0.3482130169868469, 0.32091981172561646, 0.32356444001197815, 0.32354679703712463, 0.3220061957836151, 0.3212301731109619, 0.3196437954902649, 0.31805136799812317, 0.3178972601890564, 0.31706082820892334, 0.3162248730659485, 0.31615495681762695, 0.3164370357990265, 0.31506186723709106, 0.31255003809928894, 0.31238067150115967, 0.3135644197463989, 0.31271806359291077, 0.3111005127429962]"
22/08/2021 14:37:13,7,22/08/2021 15:23:21,22/08/2021 15:30:54,17,"[0.4988095164299011, 0.4987698495388031, 0.5135714411735535, 0.5426587462425232, 0.5464682579040527, 0.5511507987976074, 0.5526984333992004, 0.5563492178916931, 0.554960310459137, 0.5567460060119629, 0.555476188659668, 0.5582539439201355, 0.5608333349227905, 0.557619035243988, 0.5588889122009277, 0.55865079164505, 0.5594841241836548, 0.5643253922462463, 0.5596428513526917, 0.5634523630142212]","[0.5027777552604675, 0.5035185217857361, 0.5453703999519348, 0.5541666746139526, 0.5615741014480591, 0.5648148059844971, 0.5672222375869751, 0.571481466293335, 0.5736111402511597, 0.5755555629730225, 0.5761111378669739, 0.5782407522201538, 0.5781481266021729, 0.5789814591407776, 0.5814814567565918, 0.5821296572685242, 0.5836111307144165, 0.5841666460037231, 0.5837036967277527, 0.5836111307144165]","[0.4461798667907715, 0.39854809641838074, 0.3349088430404663, 0.31317654252052307, 0.3132549822330475, 0.3090103566646576, 0.30970391631126404, 0.30767619609832764, 0.3091622292995453, 0.3083091676235199, 0.3072132468223572, 0.30647608637809753, 0.3061470687389374, 0.30824875831604004, 0.3065060079097748, 0.30592456459999084, 0.30623772740364075, 0.30496492981910706, 0.30613675713539124, 0.3038543164730072]","[0.4218415319919586, 0.3396105468273163, 0.32501357793807983, 0.3234942853450775, 0.32167792320251465, 0.3200545012950897, 0.3200865685939789, 0.3192807734012604, 0.3185953199863434, 0.3181535601615906, 0.31706520915031433, 0.31842124462127686, 0.318308562040329, 0.3170718848705292, 0.3177284002304077, 0.3178316354751587, 0.31720975041389465, 0.3159579038619995, 0.3155159652233124, 0.3155752122402191]"
22/08/2021 14:37:13,8,22/08/2021 15:30:54,22/08/2021 15:38:28,17,"[0.4988095164299011, 0.5009523630142212, 0.5336111187934875, 0.5510714054107666, 0.5546428561210632, 0.554444432258606, 0.5583730340003967, 0.5585317611694336, 0.5595238208770752, 0.5589682459831238, 0.5597618818283081, 0.5618253946304321, 0.5617460608482361, 0.5626587271690369, 0.5603571534156799, 0.5650396943092346, 0.5608333349227905, 0.567896842956543, 0.5622222423553467, 0.56634920835495]","[0.5027777552604675, 0.5325925946235657, 0.5648148059844971, 0.5699999928474426, 0.5721296072006226, 0.5739814639091492, 0.5761111378669739, 0.5761111378669739, 0.5756481289863586, 0.577129602432251, 0.5785185098648071, 0.5787962675094604, 0.5799999833106995, 0.5798147916793823, 0.5820370316505432, 0.5822222232818604, 0.5816666483879089, 0.5830555558204651, 0.5850926041603088, 0.5850926041603088]","[0.4416045546531677, 0.3747468590736389, 0.3183114230632782, 0.31105223298072815, 0.3093757927417755, 0.3090905547142029, 0.308008074760437, 0.3080541491508484, 0.3068908751010895, 0.3074549436569214, 0.30594754219055176, 0.30651620030403137, 0.3053590953350067, 0.3054494559764862, 0.3051094114780426, 0.30276742577552795, 0.30525436997413635, 0.30437415838241577, 0.3037722706794739, 0.3020564019680023]","[0.3957633376121521, 0.33412373065948486, 0.32277989387512207, 0.32393839955329895, 0.32386887073516846, 0.32344716787338257, 0.3245626389980316, 0.3226616680622101, 0.32197079062461853, 0.32082894444465637, 0.32082006335258484, 0.32129526138305664, 0.32063594460487366, 0.31849974393844604, 0.31783565878868103, 0.3169580101966858, 0.31674331426620483, 0.3162088394165039, 0.31566017866134644, 0.3147091269493103]"
22/08/2021 14:37:13,9,22/08/2021 15:38:28,22/08/2021 15:46:04,17,"[0.4988095164299011, 0.5018650889396667, 0.5401190519332886, 0.55650794506073, 0.5594841241836548, 0.5578968524932861, 0.5581746101379395, 0.5643253922462463, 0.5630555748939514, 0.5637301802635193, 0.5644047856330872, 0.5593253970146179, 0.5617856979370117, 0.564047634601593, 0.5644444227218628, 0.5646031498908997, 0.5652777552604675, 0.5638889074325562, 0.5678174495697021, 0.5671031475067139]","[0.5027777552604675, 0.5437963008880615, 0.5597222447395325, 0.5674074292182922, 0.5724074244499207, 0.5745370388031006, 0.5755555629730225, 0.5765740871429443, 0.5796296000480652, 0.5825926065444946, 0.5829629898071289, 0.5832407474517822, 0.584074079990387, 0.585277795791626, 0.5849999785423279, 0.5874074101448059, 0.5872222185134888, 0.5888888835906982, 0.5894444584846497, 0.5888888835906982]","[0.43943944573402405, 0.36400216817855835, 0.31526413559913635, 0.3091541826725006, 0.3095545470714569, 0.3095358908176422, 0.30815568566322327, 0.3050113022327423, 0.3060944080352783, 0.30553996562957764, 0.3052816390991211, 0.3058697283267975, 0.30473592877388, 0.3054051101207733, 0.30334752798080444, 0.3028619587421417, 0.3030853867530823, 0.3022698760032654, 0.30233094096183777, 0.3029099702835083]","[0.3771246075630188, 0.3248225450515747, 0.3237845301628113, 0.3233949840068817, 0.32182514667510986, 0.3212764263153076, 0.32098624110221863, 0.3201224207878113, 0.31882598996162415, 0.3186536729335785, 0.3169124126434326, 0.3162829279899597, 0.31652435660362244, 0.3165985345840454, 0.3145686686038971, 0.3160625100135803, 0.31423646211624146, 0.3141864836215973, 0.3130984306335449, 0.3119736611843109]"
22/08/2021 14:37:13,10,22/08/2021 15:46:05,22/08/2021 15:53:38,17,"[0.4988095164299011, 0.4992063343524933, 0.5259920358657837, 0.5519841313362122, 0.5547618865966797, 0.5566666722297668, 0.5584523677825928, 0.5619444251060486, 0.5597618818283081, 0.5640873312950134, 0.5596031546592712, 0.5585317611694336, 0.5602777600288391, 0.5625, 0.5618650913238525, 0.5654761791229248, 0.565833330154419, 0.565079391002655, 0.5609920620918274, 0.5657142996788025]","[0.5027777552604675, 0.5353703498840332, 0.5691666603088379, 0.5731481313705444, 0.5770370364189148, 0.5778703689575195, 0.5780555605888367, 0.578425943851471, 0.5805555582046509, 0.5803703665733337, 0.5811111330986023, 0.5822222232818604, 0.5831481218338013, 0.5838888883590698, 0.5833333134651184, 0.584074079990387, 0.5837963223457336, 0.5832407474517822, 0.584074079990387, 0.5855555534362793]","[0.44916194677352905, 0.39134764671325684, 0.3221549391746521, 0.31170323491096497, 0.3107961416244507, 0.30956074595451355, 0.30910101532936096, 0.30760589241981506, 0.30665045976638794, 0.3052176237106323, 0.3057623505592346, 0.30618447065353394, 0.3050982654094696, 0.3058081567287445, 0.30388838052749634, 0.3048853576183319, 0.30377742648124695, 0.30438560247421265, 0.30537155270576477, 0.30339905619621277]","[0.42522406578063965, 0.3302351236343384, 0.32313090562820435, 0.3231196403503418, 0.3214155435562134, 0.3209390938282013, 0.3197473883628845, 0.3194444477558136, 0.31897008419036865, 0.31899014115333557, 0.3177579343318939, 0.3162880539894104, 0.3162919878959656, 0.31575095653533936, 0.3156643211841583, 0.31561580300331116, 0.3138093948364258, 0.3145802915096283, 0.3139675259590149, 0.3133230209350586]"
