date,n_rounds,start_time,end_time,max_seq_length,accuracy,val_accuracy,loss,val_loss
22/08/2021 05:27:50,2,22/08/2021 05:52:45,22/08/2021 05:58:20,9,"[0.4988095164299011, 0.4988095164299011]","[0.5027777552604675, 0.502824068069458]","[0.4496452212333679, 0.4036693274974823]","[0.43341095745563507, 0.36626216769218445]"
22/08/2021 05:27:50,2,22/08/2021 05:58:21,22/08/2021 06:01:47,5,"[0.4988095164299011, 0.49882936477661133]","[0.5027777552604675, 0.502824068069458]","[0.4459581673145294, 0.4067939966917038]","[0.4367506355047226, 0.38901542127132416]"
22/08/2021 05:27:50,2,22/08/2021 06:01:48,22/08/2021 06:06:24,7,"[0.4988095164299011, 0.4988095164299011]","[0.5027777552604675, 0.5027777552604675]","[0.4465692639350891, 0.40599633753299713]","[0.43801000714302063, 0.38394181430339813]"
