date,round,start_time,end_time,max_seq_length,accuracy,val_accuracy,loss,val_loss
22/08/2021 05:27:50,1,22/08/2021 05:52:45,22/08/2021 05:55:34,9,"[0.4988095164299011, 0.4988095164299011]","[0.5027777552604675, 0.5028703808784485]","[0.44698429107666016, 0.39854884147644043]","[0.4271514117717743, 0.3599723279476166]"
22/08/2021 05:27:50,2,22/08/2021 05:55:35,22/08/2021 05:58:20,9,"[0.4988095164299011, 0.4988095164299011]","[0.5027777552604675, 0.5027777552604675]","[0.4523061513900757, 0.40878981351852417]","[0.43967050313949585, 0.3725520074367523]"
22/08/2021 05:27:50,1,22/08/2021 05:58:21,22/08/2021 06:00:03,5,"[0.4988095164299011, 0.4988095164299011]","[0.5027777552604675, 0.5027777552604675]","[0.44756269454956055, 0.4115177094936371]","[0.4461890459060669, 0.402970552444458]"
22/08/2021 05:27:50,2,22/08/2021 06:00:04,22/08/2021 06:01:47,5,"[0.4988095164299011, 0.49884921312332153]","[0.5027777552604675, 0.5028703808784485]","[0.4443536400794983, 0.4020702838897705]","[0.4273122251033783, 0.3750602900981903]"
22/08/2021 05:27:50,1,22/08/2021 06:01:48,22/08/2021 06:04:09,7,"[0.4988095164299011, 0.4988095164299011]","[0.5027777552604675, 0.5027777552604675]","[0.4479007422924042, 0.4094724953174591]","[0.4437296986579895, 0.3884809911251068]"
22/08/2021 05:27:50,2,22/08/2021 06:04:09,22/08/2021 06:06:24,7,"[0.4988095164299011, 0.4988095164299011]","[0.5027777552604675, 0.5027777552604675]","[0.44523778557777405, 0.40252017974853516]","[0.43229031562805176, 0.37940263748168945]"
